DomainLabel	nMuts	nGenes	pfam	Description
DEP_1_P-Rex	2	1	cd04439	DEP (Dishevelled, Egl-10, and Pleckstrin) domain 1 found in P-Rex-like proteins. The P-Rex family is the guanine-nucleotide exchange factor (GEF) for the small GTPase Rac that contains an N-terminal RhoGEF domain, two DEP and PDZ domains. Rac-GEF...
DEP_DEPDC4	2	1	cd04446	DEP (Dishevelled, Egl-10, and Pleckstrin) domain found in DEPDC4-like proteins. DEPDC4 is a DEP domain containing protein of unknown function
DHPD_FMN	2	1	cd02940	Dihydropyrimidine dehydrogenase (DHPD) FMN-binding domain.  DHPD catalyzes the first step in pyrimidine degradation: the NADPH-dependent reduction of uracil and thymine to the corresponding 5,6-dihydropyrimidines. DHPD contains two FAD, two FMN, and...
DLP_1	2	2	cd08771	Dynamin_like protein family includes dynamins and Mx proteins
DM10	2	1	smart00676	Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases
DM14	2	1	smart00685	Repeats in fly CG4713, worm Y37H9A.3 and human FLJ20241
DNA_pol_B_exo1	2	1	pfam03104	DNA polymerase family B, exonuclease domain
DNA_pol_gammaA	2	1	cd08641	Pol gammaA is a family A polymerase that is responsible for DNA replication and repair in mitochondria
DNA_pol_phi	2	2	pfam04931	DNA polymerase phi
DOR	2	2	NA	NA
DSP_MapKP	2	1	cd01446	N-terminal regulatory rhodanese domain of dual specificity phosphatases (DSP), such as Mapk Phosphatase. This domain is believed to determine substrate specificity by binding the substrate, such as ERK2, and activating the C-terminal catalytic domain by...
DSRM	2	2	cd00048	Double-stranded RNA binding motif. Binding is not sequence specific but is highly specific for double stranded RNA. Found in a variety of proteins including dsRNA dependent protein kinase PKR, RNA helicases, Drosophila staufen protein, E. coli RNase III
DUF1053	2	2	pfam06327	Domain of Unknown Function (DUF1053)
DUF1180	2	2	pfam06679	Protein of unknown function (DUF1180)
DUF1279	2	2	pfam06916	Protein of unknown function (DUF1279)
DUF1394	2	1	pfam07159	Protein of unknown function (DUF1394)
DUF1704	2	1	cl06858	Domain of unknown function (DUF1704)
DUF1716	2	1	pfam08216	Eukaryotic domain of unknown function (DUF1716)
DUF1900	2	2	pfam08954	Domain of unknown function (DUF1900)
DUF2042	2	1	pfam09743	Uncharacterized conserved protein (DUF2042)
DUF2046	2	1	pfam09755	Uncharacterized conserved protein H4 (DUF2046)
DUF2051	2	2	pfam09738	Double stranded RNA binding protein (DUF2051)
DUF21	2	2	pfam01595	Domain of unknown function DUF21
DUF2152	2	1	pfam10222	Uncharacterized conserved protein (DUF2152)
DUF2419	2	1	pfam10343	Protein of unknown function (DUF2419)
DUF2451	2	1	pfam10474	Protein of unknown function C-terminus (DUF2451)
DUF3312	2	1	pfam11768	Protein of unknown function (DUF3312)
DUF3384	2	1	pfam11864	Domain of unknown function (DUF3384)
DUF3402	2	1	pfam11882	Domain of unknown function (DUF3402)
DUF3480	2	2	pfam11979	Domain of unknown function (DUF3480)
DUF3518	2	1	pfam12031	Domain of unknown function (DUF3518)
DUF3524	2	1	pfam12038	Domain of unknown function (DUF3524)
DUF3535	2	1	pfam12054	Domain of unknown function (DUF3535)
DUF3544	2	1	pfam12064	Domain of unknown function (DUF3544)
DUF3546	2	1	pfam12066	Domain of unknown function (DUF3546)
DUF3699	2	1	pfam12480	Protein of unknown function (DUF3699)
DUF3730	2	1	pfam12530	Protein of unknown function (DUF3730)
DUF3736	2	1	pfam12540	Protein of unknown function (DUF3736)
DUF3776	2	2	pfam12618	Protein of unknown function (DUF3776)
DUF4085	2	1	pfam13315	Protein of unknown function (DUF4085)
DUF410	2	1	pfam04190	Protein of unknown function (DUF410)
DUF4147	2	1	pfam13660	Domain of unknown function (DUF4147)
DUF4495	2	1	NA	NA
DUF4551	2	1	NA	NA
DUF607	2	1	pfam04678	Protein of unknown function, DUF607
DUF667	2	2	pfam05018	Protein of unknown function (DUF667)
DUF676	2	2	pfam05057	Putative serine esterase (DUF676)
DUF706	2	1	pfam05153	Family of unknown function (DUF706)
DUF758	2	2	pfam05527	Domain of unknown function (DUF758)
DUF766	2	1	pfam05571	Protein of unknown function (DUF766)
DUF827	2	2	pfam05701	Plant protein of unknown function (DUF827)
Daxx	2	1	pfam03344	Daxx Family
Defensin_beta_2	2	2	pfam13841	Beta defensin
Dendrin	2	1	NA	NA
DinG	2	1	COG1199	Rad3-related DNA helicases [Transcription / DNA replication, recombination, and repair]
DnaQ	2	2	COG0847	DNA polymerase III, epsilon subunit and related 3'-5' exonucleases [DNA replication, recombination, and repair]
Dnmt3b_related	2	2	cd05835	The PWWP domain is an essential component of DNA methyltransferase 3 B (Dnmt3b) which is responsible for establishing DNA methylation patterns during embryogenesis and gametogenesis.  In tumorigenesis, DNA methylation by Dnmt3b is known to play a role in...
Drf_GBD	2	1	pfam06371	Diaphanous GTPase-binding Domain
Dymeclin	2	1	pfam09742	Dyggve-Melchior-Clausen syndrome protein
ECM1	2	1	pfam05782	Extracellular matrix protein 1 (ECM1)
EF1B	2	2	cd00292	Elongation factor 1 beta (EF1B) guanine nucleotide exchange domain. EF1B catalyzes the exchange of GDP bound to the G-protein, EF1A, for GTP, an important step in the elongation cycle of the protein biosynthesis. EF1A binds to and delivers the aminoacyl...
EF_hand_5	2	2	pfam13499	EF-hand domain pair
EIF4E-T	2	1	pfam10477	Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E
ENVV1-like_HR1-HR2	2	1	cd09950	heptad repeat 1-heptad repeat 2 region (ectodomain) of the transmembrane subunit of the human endogenous retrovirus ENVV1, and related domains
EPL1	2	2	pfam10513	Enhancer of polycomb-like
ETNK_euk	2	1	cd05157	Ethanolamine kinase (ETNK) in eukaryotes. ETNK is part of a larger superfamily that includes the catalytic domains of other kinases, such as the typical serine/threonine/tyrosine protein kinases (PKs), RIO kinases, actin-fragmin kinase (AFK), and...
ETS	2	2	smart00413	erythroblast transformation specific domain
Ena-Vasp	2	2	cd01207	Enabled-VASP-type homology (EVH1) domain
Enamelin	2	1	NA	NA
EphR_LBD	2	1	cl02704	Ligand Binding Domain of Ephrin Receptors
Erf4	2	1	pfam10256	Golgin subfamily A member 7/ERF4 family
Ets	2	2	pfam00178	Ets-domain
Euk_Ferritin	2	2	cd01056	eukaryotic ferritins
Exo70	2	1	pfam03081	Exo70 exocyst complex subunit
FA	2	2	pfam08736	FERM adjacent (FA)
FAD_binding_3	2	1	pfam01494	FAD binding domain
FAD_binding_4	2	2	pfam01565	FAD binding domain
FANC	2	1	cl17018	Fanconi anemia ID complex proteins FANCI and FANCD2
FANCAA	2	1	NA	NA
FANCD2	2	1	cd11721	Fanconi anemia D2 protein
FANCF	2	1	pfam11107	Fanconi anemia group F protein (FANCF)
FAST_1	2	2	pfam06743	FAST kinase-like protein, subdomain 1
FBP_aldolase_I_a	2	1	cd00948	Fructose-1,6-bisphosphate aldolase
FF	2	2	smart00441	Contains two conserved F residues
FTCD_C	2	1	pfam04961	Formiminotransferase-cyclodeaminase
FabG	2	2	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases) [Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only]
Fanconi_C	2	1	pfam02106	Fanconi anaemia group C protein
Fib_alpha	2	1	pfam08702	Fibrinogen alpha/beta chain family
Fmt	2	1	COG0223	Methionyl-tRNA formyltransferase [Translation, ribosomal structure and biogenesis]
Folate_carrier	2	2	pfam01770	Reduced folate carrier
Four-jointed-like_C	2	1	cd10468	C-terminal kinase domain of Drosophila Four-jointed (Fj), mouse Fjx1, and related proteins
Frag1	2	1	pfam10277	Frag1/DRAM/Sfk1 family
FtsJ	2	2	pfam01728	FtsJ-like methyltransferase
G8	2	1	pfam10162	G8 domain
GAGE	2	2	pfam05831	GAGE protein
GAS	2	2	pfam13851	Growth-arrest specific micro-tubule binding
GAS2	2	1	smart00243	Growth-Arrest-Specific Protein 2 Domain
GH18_SI-CLP	2	1	cd02876	Stabilin-1 interacting chitinase-like protein (SI-CLP) is a eukaryotic chitinase-like protein of unknown function that interacts with the endocytic/sorting transmembrane receptor stabilin-1 and is secreted from the lysosome.  SI-CLP has a glycosyl...
GH18_chitinase-like	2	1	cl10447	The GH18 (glycosyl hydrolase, family 18) type II chitinases hydrolyze chitin, an abundant polymer of beta-1,4-linked N-acetylglucosamine (GlcNAc) which is a major component of the cell wall of fungi and the exoskeleton of arthropods.  Chitinases have...
GHB_like	2	1	cd00069	Glycoprotein hormone beta chain homologues
GPS	2	2	pfam01825	Latrophilin/CL-1-like GPS domain
GRIN_C	2	1	NA	NA
GRX_GRX_like	2	1	composed of uncharacterized eukaryotic proteins containing a GRX-like domain having only one conserved cysteine, aligning to the C-terminal cysteine of the CXXC motif of GRXs. This...	Glutaredoxin (GRX) family, GRX-like domain containing protein subfamily
GSH_Peroxidase	2	1	tetrameric selenoenzymes that catalyze the reduction of a variety of hydroperoxides including lipid peroxidases, using GSH as a specific electron donor substrate. GSH peroxidase contains one selenocysteine residue per...	Glutathione (GSH) peroxidase family
GT8_HUGT1_C_like	2	2	cd06432	The C-terminal domain of HUGT1-like is highly homologous to the GT 8 family
GTPBP1	2	1	COG5258	GTPase [General function prediction only]
GVQW	2	2	pfam13900	Putative binding domain
GWT1	2	1	cl02109	GWT1
Gal_Lectin	2	2	pfam02140	Galactose binding lectin domain
GatA	2	1	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases [Translation, ribosomal structure and biogenesis]
Geminin	2	1	pfam07412	Geminin
Ggt	2	2	COG0405	Gamma-glutamyltransferase [Amino acid transport and metabolism]
Glutenin_hmw	2	1	pfam03157	High molecular weight glutenin subunit
Glyco_hydro_15	2	2	pfam00723	Glycosyl hydrolases family 15
Glyco_hydro_20	2	2	pfam00728	Glycosyl hydrolase family 20, catalytic domain
Glyco_hydro_59	2	1	pfam02057	Glycosyl hydrolase family 59
Gpi16	2	1	pfam04113	Gpi16 subunit, GPI transamidase component
HA2	2	1	pfam04408	Helicase associated domain (HA2)
HAD-SF-IE	2	1	NA	haloacid dehalogenase superfamily, subfamily IE hydrolase, TIGR01544
HAD_IIID1	2	1	NA	HAD-superfamily subfamily IIID hydrolase, TIGR02245
HAD_like	2	2	cd01427	Haloacid dehalogenase-like hydrolases. The haloacid dehalogenase-like (HAD) superfamily includes L-2-haloacid dehalogenase, epoxide hydrolase, phosphoserine phosphatase, phosphomannomutase, phosphoglycolate phosphatase, P-type ATPase, and many others
HDAC6-dom1	2	1	cd11682	Histone deacetylase 6, domain 1
HEAT_EZ	2	1	pfam13513	HEAT-like repeat
HJURP_C	2	1	pfam12347	Holliday junction regulator protein family C-terminal repeat
HNF-1_N	2	2	pfam04814	Hepatocyte nuclear factor 1 (HNF-1), N terminus
HNOBA	2	1	pfam07701	Heme NO binding associated
HSF	2	1	smart00415	heat shock factor
HSH155	2	1	COG5181	U2 snRNP spliceosome subunit [RNA processing and modification]
HSP70	2	2	pfam00012	Hsp70 protein
HSPA14-like_NBD	2	1	cd10238	Nucleotide-binding domain of human HSPA14 and similar proteins
HTH	2	2	cl00088	Helix-turn-helix domains
HTH_Tnp_Tc5	2	2	pfam03221	Tc5 transposase DNA-binding domain
HbrB	2	1	pfam08539	HbrB-like
Helicase_C_4	2	2	pfam13871	Helicase_C-like
HisS	2	1	COG0124	Histidyl-tRNA synthetase [Translation, ribosomal structure and biogenesis]
HlyIII	2	2	pfam03006	Haemolysin-III related
Homeobox	2	2	pfam00046	Homeobox domain
IBN_N	2	2	smart00913	Importin-beta N-terminal domain
IER	2	1	pfam05760	Immediate early response protein (IER)
IF-2B	2	1	pfam01008	Initiation factor 2 subunit family
IF4E	2	2	pfam01652	Eukaryotic initiation factor 4E
IGFL	2	1	NA	NA
IG_FLMN	2	1	smart00557	Filamin-type immunoglobulin domains
IL7	2	1	cl11602	Interleukin 7/9 family
INPP5c_Synj1	2	1	cd09098	Catalytic inositol polyphosphate 5-phosphatase (INPP5c) domain of synaptojanin 1
INPP5c_Synj2	2	1	cd09099	Catalytic inositol polyphosphate 5-phosphatase (INPP5c) domain of synaptojanin 2
IPT_RBP-Jkappa	2	2	cd01176	IPT domain of the recombination signal Jkappa binding protein (RBP-Jkappa). RBP-J kappa, was initially considered to be involved in V(D)J recombination because of its DNA binding specificity and structural similarity to site-specific recombinases known...
IPT_plexin_repeat1	2	2	cd01180	First repeat of the IPT domain of Plexins and Cell Surface Receptors (PCSR) . Plexins are involved in the regulation of cell proliferation and of cellular adhesion and repulsion receptors. In general, there are three copies of the IPT domain present...
IRF-3	2	2	pfam10401	Interferon-regulatory factor 3
IZUMO	2	1	NA	NA
IbpA	2	1	COG0071	Molecular chaperone (small heat shock protein) [Posttranslational modification, protein turnover, chaperones]
Ig1_LILRB1_like	2	2	cd05751	First immunoglobulin (Ig)-like domain found in Leukocyte Ig-like receptors (LILR)B1 (also known as LIR-1) and similar proteins
Ig1_Neogenin	2	1	cd05722	First immunoglobulin (Ig)-like domain in neogenin and similar proteins
Ig1_Robo	2	1	cd07693	First immunoglobulin (Ig)-like domain in Robo (roundabout) receptors and similar proteins
Ig2_RPTP_IIa_LAR_like	2	1	cd05738	Second immunoglobulin (Ig)-like domain of  the receptor protein tyrosine phosphatase (RPTP)-F, also known as LAR
Ig5_NCAM-2	2	1	cd05870	Fifth immunoglobulin (Ig)-like domain of Neural Cell Adhesion Molecule NCAM-2 (also known as OCAM/mamFas II and RNCAM)
Ig_MOG_like	2	2	cd05713	Immunoglobulin (Ig)-like domain of myelin oligodendrocyte glycoprotein (MOG)
InfB	2	1	GTPase) [Translation, ribosomal structure and biogenesis]	Translation initiation factor 2 (IF-2
Josephin	2	1	pfam02099	Josephin
KAP	2	1	pfam05804	Kinesin-associated protein (KAP)
KISc_C_terminal	2	1	cd01366	Kinesin motor domain, KIFC2/KIFC3/ncd-like carboxy-terminal kinesins. Ncd is a spindle motor protein necessary for chromosome segregation in meiosis. KIFC2/KIFC3-like kinesins have been implicated in motility of the Golgi apparatus as well as dentritic...
KISc_KIP3_like	2	2	cd01370	Kinesin motor domain, KIP3-like subgroup. The yeast kinesin KIP3 plays a role in positioning the mitotic spindle. This catalytic (head) domain has ATPase activity and belongs to the larger group of P-loop NTPases. Kinesins are microtubule-dependent...
Kelch_5	2	2	pfam13854	Kelch motif
Kv2channel	2	1	pfam03521	Kv2 voltage-gated K+ channel
L7	2	1	TIGR01310	60S ribosomal protein L7, eukaryotic
LCE	2	2	NA	NA
LMBR1	2	1	pfam04791	LMBR1-like membrane protein
LMWPc	2	1	cd00115	Low molecular weight phosphatase family
LOTUS_3_TDRD5	2	1	cd09976	The third LOTUS domain on Tudor-containing protein 5 (TDRD5)
LRRNT	2	2	smart00013	Leucine rich repeat N-terminal domain
LTD	2	2	pfam00932	Lamin Tail Domain
L_HGMIC_fpl	2	1	pfam10242	Lipoma HMGIC fusion partner-like protein
LacZ	2	1	COG3250	Beta-galactosidase/beta-glucuronidase [Carbohydrate transport and metabolism]
Lactamase_B_2	2	1	pfam12706	Beta-lactamase superfamily domain
LamGL	2	1	smart00560	LamG-like jellyroll fold domain
LamNT	2	2	smart00136	Laminin N-terminal domain (domain VI)
Laminin_I	2	1	pfam06008	Laminin Domain I
Laminin_II	2	1	pfam06009	Laminin Domain II
Ldl_recept_b	2	2	cl10508	Low-density lipoprotein receptor repeat class B
M14_CPD_I	2	1	Carboxypeptidase D, domain I subgroup	Peptidase M14 carboxypeptidase subfamily N/E-like
M14_CPX_like	2	2	Carboxypeptidase X subgroup	Peptidase M14 carboxypeptidase subfamily N/E-like
M14_CPZ	2	1	Carboxypeptidase Z subgroup	Peptidase M14 carboxypeptidase subfamily N/E-like
M1_LTA4H	2	2	cd09599	Peptidase M1 family contains leukotriene A4 hydrolase
M20_dipept_like_CNDP	2	1	cd05676	M20 cytosolic nonspecific dipeptidases including anserinase and serum carnosinase
M28_PSMA_like	2	2	cd08022	M28 Zn-peptidase prostate-specific membrane antigen
MA3	2	2	smart00544	Domain in DAP-5, eIF4G, MA-3 and other proteins
MAGP	2	2	pfam05507	Microfibril-associated glycoprotein (MAGP)
MAP65_ASE1	2	1	pfam03999	Microtubule associated protein (MAP65/ASE1 family)
MARVEL	2	2	pfam01284	Membrane-associating domain
MCM2	2	1	COG1241	Predicted ATPase involved in replication control, Cdc46/Mcm family [DNA replication, recombination, and repair]
MDR3	2	2	cd08275	Medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family
MFS_2	2	2	pfam13347	MFS/sugar transport protein
MG1	2	2	pfam11974	Alpha-2-macroglobulin MG1 domain
MIT	2	2	pfam04212	MIT (microtubule interacting and transport) domain
ML	2	1	cl00274	The ML (MD-2-related lipid-recognition) domain is present in MD-1, MD-2, GM2 activator protein, Niemann-Pick type C2 (Npc2) protein, phosphatidylinositol/phosphatidylglycerol transfer protein (PG/PI-TP), mite allergen Der p 2  and several proteins of...
MOR2-PAG1_C	2	1	pfam14225	Cell morphogenesis C-terminal
MPN_2A_DUB	2	2	cd08067	Mov34/MPN/PAD-1 family: Histone H2A deubiquitinase
MRG	2	1	pfam05712	MRG
MRP	2	1	pfam09387	Mitochondrial RNA binding protein MRP
MSC	2	2	pfam09402	Man1-Src1p-C-terminal domain
MYSc_type_II	2	1	cd01377	Myosin motor domain, type II myosins. Myosin II mediates cortical contraction in cell motility, and is the motor in smooth and skeletal muscle. This catalytic (head) domain has ATPase activity and belongs to the larger group of P-loop NTPases. Myosins...
Macro_Af1521_BAL_like	2	2	cd02907	Macro domain, Af1521- and BAL-like family. The macro domain is a high-affinity ADP-ribose binding module found in a variety of proteins as a stand-alone domain or in combination with other domains like in histone macroH2A and some PARPs (poly ADP-ribose...
